Regne,Categorie,Code_espece,Nom_francais,Nom_latin,Nom_anglais,Nom latin,Espèces similaires,Description,Habitat,Propagation,Présence au Québec,Exercer contrôle,Feuilles,Fleurs,Fruits ou graines,Tige,Racines,Message d'alerte,Traits,Examples,img_path,is_invasive
Flore,Plantes aquatiques submergées,MYRAQ,Myriophylle aquatique,Myriophyllum aquaticum,Parrot feather,Myriophyllum aquaticum,"Les autres myriophylles, les utriculaires, les cornifles et la cabomba de Caroline (<i>Cabomba caroliniana</i>).","Plante vivace submergée ou émergente, dont la partie émergente ressemble à un petit sapin de couleur vert tendre.","Le myriophylle aquatique pousse dans les lacs, les étangs et les rivières à faible débit, riches en nutriments. Il peut également pousser dans les eaux légèrement salées. Bien qu'il pousse mieux lorsqu'il est enraciné et en eau peu profonde, le myriophylle aquatique peut aussi être observé sous forme flottante en eau profonde. Il pousse bien sur les berges. ",Le myriophylle aquatique peut être libéré dans la nature par les aquariophiles et les amateurs de jardins d'eau. Il peut aussi être propagé d'un plan d'eau à un autre par des fragments attachés aux embarcations et aux équipements. Le myriophylle aquatique se multiplie et se propage par ses rhizomes.,,,"Le myriophylle aquatique a deux types de feuilles d'apparence similaire. Les feuilles submergées sont brunâtres ou rougeâtres. Elles mesurent de 1,5 à 3,5 cm et comportent de 20 à 30 folioles. Elles semblent détériorées et moins développées que les feuilles émergentes. Les feuilles émergentes sont verticillées et disposées par groupes de 4 ou 6. Les verticilles sont espacés à la base de la tige et plus rapprochées près du sommet. Les feuilles émergentes mesurent de 2,5 à 5 cm de long et comportent de 10 à 18 paires de folioles. Leur nervure centrale est aplatie et leur pétiole est court. Les feuilles émergentes sont robustes et ressemblent à des plumes. Elles sont d'une couleur verte vibrante et ont un aspect cireux. ",Les fleurs sont minuscules et rosées. Elles ont 4 sépales blancs et des pétioles courts. Elles apparaissent au printemps à l'aisselle des feuilles émergentes des plants femelles. ,Les plants observés en Amérique du Nord sont tous des femelles et ne produisent pas de graines. Leur reproduction est exclusivement asexuée.,Les tiges peuvent mesurer jusqu'à 2 m de long. Leur portion émergente ne se ramifie pas et peut atteindre 30 cm de hauteur. Le myriophylle aquatique possède également des rhizomes.,Les racines sont fines et abondantes. Elles sont présentes sur les rhizomes.,,"['Vibrant', 'Outgoing', 'Hardworking', 'Adventurous', 'Mysterious']","[""Wow! I'm so vibrant, I light up every conversation!"", ""Look at me, I'm the life of the party! Everybody loves a Parrot Feather, hehe!"", ""Hustle and bustle, that's my motto! I get things done, you know it!"", ""Hey, let's go on an adventure! I hear there's a lake over yonder."", ""Ooh, mysterious flowers, shhh! The secrets they hold...]"">]]",images/reference/question_mark.jpg,True
Flore,Plantes aquatiques submergées,NITET,Nitelle étoilée,Nitellopsis obtusa,Starry stonewort,<i>Nitellopsis obtusa</i>,"La nitelle étoilée peut facilement être confondue avec les algues de la famille des Characées (<i>Chara sp.</i> et <i>Nitella sp.</i>), qui sont très présentes au Québec. Les rameaux de la nitelle étoilée sont cependant beaucoup plus longs que ceux de ces Characées indigènes. Contrairement à la nitelle étoilée, le thalle des <i>Chara sp.</i> aura une apparence rugueuse, car il sera parsemé de petites bosses. Les rameaux des <i>Nitella sp.</i>, quant à eux, seront plus flasques que ceux de la nitelle étoilée, qui conservent leur rigidité lorsque sortis de l’eau.

La nitelle étoilée pourrait aussi, dans une certaine mesure, être confondue avec certains potamots d’allure plus filamenteuse.","La nitelle étoilée est une algue macroscopique. Elle peut se développer jusqu’à une profondeur de 9 m, puisqu’elle tolère bien les habitats avec peu de lumière, et elle peut former de denses tapis au fond de l’eau. Elle peut également persister sous un épais couvert de glace dans certains lacs.

L’espèce est originaire d’Eurasie et elle semble être de plus en plus présente dans la région des Grands Lacs (notamment dans le lac Ontario) et du nord-est des États-Unis. Elle est d’ailleurs présente au Vermont, dans la partie américaine du lac Memphrémagog.",La nitelle étoilée est un organisme d’eau douce qui peut également tolérer l’eau salée. Elle préfère les eaux riches en calcium ou en magnésium (eaux dures) et elle s’attache aux sédiments des eaux calmes des étangs et des lacs.,"Il existe chez la nitelle étoilée des individus mâles et femelles qui produisent chacun des organes reproductifs distincts. Cependant, seuls des mâles ou des individus stériles ont été observés jusqu’à présent en Amérique du Nord. La nitelle étoilée se propage donc grâce aux bulbilles ou aux segments du thalle qui se détachent et qui peuvent tous deux former de nouveaux individus.",,,,"Les bulbilles blanches en forme d’étoiles peuvent être confondues avec des fleurs. Ces bulbilles, qui mesurent moins de 5 mm de diamètre, peuvent être observées sur les rhizoïdes ou sur les nœuds du thalle à l’automne.",,"La nitelle étoilée ne possède pas de tige, mais plutôt un thalle (corps végétatif), qui est généralement lisse et d’un vert vif à brunâtre. Le thalle comporte plusieurs segments de longueur variable qui peuvent mesurer jusqu’à 20 cm. Ces segments sont séparés par des nœuds où l’algue se ramifie en rameaux (de cinq à sept). C’est sur ces nœuds qu’on retrouve les organes reproducteurs (mâles ou femelles) de la nitelle étoilée. Chaque rameau peut à son tour se diviser, ce qui donne des allures de pointes fourchues inégales.","Contrairement aux plantes vasculaires aquatiques, les algues ne possèdent pas de système racinaire. Pour s’accrocher aux sédiments, la nitelle étoilée utilise des rhizoïdes translucides.",,"['Assertive', 'Patient', 'Particular', 'Striking', 'Adaptable']","[f'Hey! I\'m a Starry stonewort, a super patient plant. Don\'t mess with me, I know what I like!',
 'Woah, that fish is a real magnes-buddy of mine!',
 'I might look sharp, but I\'m really just a big softy!',
 'Hey, hey, slow down! I\'m particular about my company!',
 'Adapt or bust! That\'s my motto, buddy.']",images/reference/question_mark.jpg,True
Flore,Plantes aquatiques submergées,PETNA,Petite naïade,Najas minor,Brittle-leaved naid,Najas minor,"Naïade flexible (<i>Najas flexilis</i>) et autres naïades, les espèces de potamots à feuilles étroites et les algues Chara sp. et Nitella sp. La petite naïade se distingue par ses feuilles qui sont recourbées (à la fin de l'été) et qui portent à la marge des dents visibles à l'œil nu.",La petite naïade est une plante annuelle submergée qui peut atteindre des profondeurs de plus de 5 m. Elle pousse en sous-étage et peut être difficile à détecter.,"La petite naïade peut coloniser les étangs, les lacs, les rivières et les ruisseaux à écoulement lent. Elle préfère le sable et le gravier mais peut se développer dans une diversité de substrats. Elle pousse bien dans des eaux alcalines mais tolère les eaux turbides et eutrophes. ",La petite naïade produit des graines en abondance et c'est ce qui lui permet de se reproduire et de se propager. Les graines sont disséminées par l'eau et probablement de la sauvagine lorsqu'elle se nourrit de la plante. La fragmentation des tiges peut faciliter le transport des graines qui restent attachées aux tiges. Les fragments peuvent flotter ou s'accrocher aux embarcations et au matériel.,Non,,"La disposition des feuilles est variable. Celles-ci peuvent être opposées, subopposées, verticillées ou en touffes. Petites et minces, les feuilles mesurent rarement plus de 3,5 cm de long et de 1 mm de large. Elles sont linéaires ou lancéolées et se recourbent à partir du mois d'août. La marge des feuilles est ornée de dents qui sont visibles à l'oeil nu. Les feuilles embrassent la tige et, lorsqu'elles sont arrachées, il est possible d'observer leur base carrée, proéminente et qui se décline abruptement.",Les fleurs sont monoïques et formées à l'aisselle des feuilles. Elles sont petites et discrètes. ,"Les graines sont violacées et mesurent de 1,5 à 3,0 mm de long. Elles sont en forme de broche légèrement courbée et portent des échancrures rectangulaires disposées en rangs longitudinaux. Les graines se forment à l'aisselle des feuilles de juillet à septembre. Elles s'accumulent dans les sédiments. ","Les tiges sont fines et peuvent atteindre 1,2 m de long. Elles sont abondamment ramifiées près de la surface. Elles se fragmentent aisément, surtout à la fin de l'été et au début de l'automne.",Les jeunes pousses se développent à partir de fines racines qui s'enracinent peu profondément dans les sédiments. ,,"['Subtle Naïade', 'Delicate', 'Adaptable', 'Social Observer', 'Whispering Nature']","[f'Well, hey there! I''m Najas minor, your friendly neighborhood plant. Don''t worry; I''m just a quiet and Subtle Naïade.',
'Wow, that''s a great question! I''m not too confident, so I''ll have a think about it and get back to you on that one.',
'Hey, have you seen my leaves? They''re pretty delicate and curvy, you know. Kind of like a gentle spiral!',
'I''m a pretty adaptable plant pal! I can hang out in all sorts of places, as long as there''s some sandy soil and water.',
'There''s so much chatter going on! I''m just gonna stand over here and observe. You know, being a Social Observer and all.',
'Why, hello there, birdies! You look like you have some questions for me, those beaks are quite curious. I''ll do my best to whisper some answers!']",images/reference/question_mark.jpg,True
Flore,Plantes aquatiques submergées,POTAM,Potamot crépu,Potamogeton crispus,Curly-leaved pondweed,Potamogeton crispus,"Le potamot crépu est le seul potamot dont les feuilles ont une marge dentelée et ondulée comme une pâte à lasagne. Certains potamots (ex. <i>Potamogeton richardsonii</i>, <i>P. praelongus</i> et <i>P. perfoliatus</i>) peuvent avoir des feuilles ondulées, mais leur marge ne porte pas de petites dents.","Le potamot crépu est une plante vivace submergée. Ses plants germent à partir de rhizomes et de turions à l'automne et poussent l'hiver sous la glace, atteignant leur maturité au printemps ou au début de l'été. ","Le potamot crépu préfère les substrats meubles et les eaux alcalines et riches en nutriments. Il tolère les eaux calmes ou courantes, une faible transparence et des températures fraîches. La plante peut croître à l'ombre, dans des eaux polluées ou turbides où plusieurs plantes indigènes ne peuvent pousser. ","La propagation est faite par les graines ou facilitée par les turions qui sont transportés par le courant, par l'équipement de pêche ou par les embarcations. ",Oui,,"Les feuilles sont oblongues, alternes et sessiles. Elles sont légèrement translucides et leur couleur varie de vert olive à brun rougeâtre. Elles mesurent de 4 à 10 cm de long et de 5 à 10 mm de large. Leur marge est distinctement ondulée comme une pâte à lasagne et comporte de petites dents visibles à l'oeil nu. Les stipules mesurent de 4 à 10 mm de long et sont délicatement jointes à la tige à la base des feuilles. Elles se désagrègent tôt durant la saison de croissance. Les feuilles ont un patron veineux particulier qui ressemble à un vitrail composé de deux colonnes, séparées par une nervure centrale et entourées par un cadre, formant 3 veines principales. Le potamot crépu n'a pas de feuilles flottantes. Le feuillage hivernal est plus étroit, aplati, de couleur bleu-vert. Il est plus souple et plus translucide que le feuillage d'été.  ",Les fleurs sont disposées en épi émergeant de 1 à 3 cm. Le pétiole de l'épi est mince et parfois courbé. Il peut mesurer jusqu'à 7 cm de long. Les fleurs sont petites et ont 4 lobes ressemblant à des pétales. La floraison a lieu de juin à septembre.,Les fruits portent un bec proéminent en forme de cône et une arête cahoteuse qui ressemble à une couronne.,"Les tiges sont légèrement aplaties et de couleur brun rougeâtre. Elles peuvent atteindre plusieurs mètres de long et sont ramifiées, ce qui donne un aspect touffu à la plante. Les tiges sont formées à partir de rhizomes et de turions qui sont des bourgeons végétatifs formés au printemps et qui germent à l'automne. Les turions sont durs mais flexibles et ils ont la texture du plastique rigide. Ils mesurent de 1 à 2 cm de long et sont portés sur de courtes branches le long de la tige. ",Les racines sont fibreuses et partent des rhizomes.,,"['Reserved', 'Enduring', 'Adaptable', 'Distinctive', 'Hardworking', 'Late Bloomer', 'Unassuming']","[f'Oh, hey there! I\'m Curly, the shy guy in the corner.', 'Wow, you\'re a great listener! I really thrive on that.', 'Adapt to new waters? Easy peasy! Just give me a moment to get used to it.', 'My leaves are so wavy! They say hi.', 'I\'m a hard worker, you know. I just take my time.', 'You won\'t believe I mature so late. It\'s kinda my thing!']",images/reference/potamogeton_crispus.jpg,True
Flore,Plantes de milieux terrestres,ALLIA,Alliaire officinale,Alliaria petiolata,Garlic mustard,Alliaria petiolata,"Violette (<i>Viola</i> sp.), benoîte (<i>Geum</i> sp.).","Plante biannuelle dont les jeunes feuilles libèrent une forte odeur d'ail lorsqu'elles sont froissées. À sa deuxième année de croissance, l'alliaire officinale peut atteindre une hauteur variant de 0,3 à 1,2 m et former de grandes colonies monospécifiques.","L'alliaire officinale pousse dans les sols humides des plaines inondables ombragées, dans les forêts, en bordure des routes, le long des sentiers, dans les trouées forestières et dans les milieux perturbés. La plante ne tolère pas les sols très acides. ","La plante est propagée par ses graines, le long des sentiers, par les cours d'eau et par les activités humaines. ",,,"Lors de sa première année de croissance, la plante produit une rosette de feuilles vert foncé en forme de rein, dont les bords sont dentelés. Elles peuvent mesurer de 2 à 12 cm de diamètre et leur pétiole est pubescent. Elles demeurent vertes l'hiver. Les feuilles produites lors de la deuxième année de croissance sont triangulaires, alternes et fortement dentelées. Les feuilles du bas du plant sont larges, ont une forme de rein et peuvent mesurer jusqu'à 10 cm de large. Elles deviennent plus étroites vers le sommet du plant.  ",Les fleurs sont produites lors de la deuxième année de croissance. Elles sont composées de 4 pétales blancs de 4 mm disposés en croix. La floraison a lieu en mai.,"Les graines sont noires et oblongues. Elles sont produites dans une structure qui ressemble à une capsule appelée « silique », qui a quatre côtés et une cloison transversale, et qui mesure entre 2,5 et 6 cm de long et 2 mm de large. Chaque plant mature peut produire entre 130 et 300 graines. Les graines demeurent viables de 2 à 4 ans. Les graines sont brunâtres ou noirâtres, cylindriques ou ellipsoïdales. Elles mesurent 3 mm de long par 1 mm de large. Elles portent une crête à leur extrémité. Les graines sont produites de la fin de juin jusqu'au mois d'août.",Les tiges sont simples ou ramifiées. ,La racine principale est pivotante. Elle a une courbe en forme de « s » près de la surface du sol.,,"['Assertive', 'Confident', 'Tall', 'Adaptable', 'Mysterious', 'Independent']","[f'Hey! I\'m {name} the mighty Alliaire. Smell my garlic breath!', 'Wow, look at me grow! I reach up to the sky, oh yeah!', 'Adapt to survive, that\'s my motto! Hey, roll with the punches!', 'I got the looks and the smell, a mysterious combo!', 'Don\'t need no company, I\'m a cool customer, yeah!']",images/reference/alliaria_petiolata.jpg,True
Flore,Plantes de milieux terrestres,ANTHR,Anthrisque des bois,Anthriscus sylvestris,Wild chervil,Anthriscus sylvestris,"Coniosélinum de Genesee (<i>Conioselinum chinense</i>), cigüe maculée (<i>Conium maculatum</i>), carotte sauvage (<i>Daucus carota</i>), carvi commun (<i>Carum carvi</i>)","Plante bisannuelle ou vivace à courte durée de vie, pouvant mesurer jusqu'à 1,5 m de haut et former de grandes colonies dans les milieux perturbés. Le feuillage de l'anthrisque des bois apparaît tôt au printemps. Les tiges florales meurent en août et demeurent brunes et érigées au dessus du feuillage.  ","L'anthrisque des bois pousse dans les champs agricoles, les prés abandonnés, les pâturages, les bords de routes, les milieux ouverts perturbés, les clairières et les bordures de boisés, les cours et les jardins. La plante pousse sur des sols sablonneux, argileux, tourbeux ou organiques. Elle tolère les sols secs, mésiques ou humides. Elle aurait également une certaine tolérance au sel. ","La plante peut se propager par ses graines et végétativement par les bourgeons latéraux de sa racine pivotante. Les graines peuvent être transportées par la machinerie fauchant les emprises et les fossés des routes, par les humains, les animaux et le vent. Les tiges florales cassées peuvent être transportées le long des cours d'eau. Les graines peuvent aussi être transportées dans des sols touchés.",,,"Les feuilles sont composées, alternes et ressemblent à des fougères. Elles forment une rosette lors de la première année de croissance. Elles sont pennées et comportent de 2 à 3 lobes de folioles souvent dentelés. Les premières divisions des feuilles sont plus petites que les autres. Les pétioles et les tiges foliaires portent des rainures ou des sillons sur leur face supérieure. Le dessous des feuilles est pubescent, plus particulièrement sur les nervures, alors que le dessus porte peu de poils ou est glabre. La pointe et la marge des gaines des feuilles sont souvent densément pubescentes.","L'inflorescence est une ombelle composée qui mesure entre 20 et 60 cm de diamètre et qui peut comporter de 2 à 4 niveaux d'ombelles. Les ombelles terminales et auxiliaires sont constituées de 8 à 20 rayons portant des ombellules. Les rayons sont glabres et mesurent de 1 à 4 cm. Les fleurs portent de 4 à 6 bractéoles ovales à lancéolées, cillées, verdâtres ou rosâtres. Les fleurs ont 5 pétales de couleur blanc crème et mesurent de 3 à 6 mm de diamètre. Leur extrémité est entaillée. Les fleurs n'ont pas d'involucre, ce qui distingue l'anthrisque des bois d'autres plantes de la famille des Apiacées. Les pétales externes des fleurs sur le pourtour des ombellules sont plus larges que les autres. Les pédicelles supportant les fleurs sont pourvus de quelques poils courts de moins de 0,2 mm à leur sommet, formant un anneau irrégulier. Les plants matures fleurissent de la fin de mai jusqu'au début de juillet.","Les fruits, de forme lancéolée, sont composés de deux méricarpes, communément appelés « graines » et mesurant de 5 à 10 mm de long et de 0,9 à 1,6 mm de large. La couleur des graines varie de brun verdâtre à brun foncé ou noir. Leur surface est brillante, lisse ou porte parfois de petites protubérances éparses. Les carpelles du fruit sont subcylindriques et se terminent par un bec mesurant le quart ou le tiers de la longueur du fruit. Les stigmates du pistil sont persistants et sont légèrement ou largement divergents.","La tige florale mesure de 0,3 à 1,5 m de long. Elle est creuse, ramifiée et profondément sillonnée. Les tiges sont pubescentes. Les noeuds inférieurs portent une frange de longs poils. Les tiges brunes mortes peuvent demeurent érigées tout l'hiver. ","La plante a une longue racine pivotante épaisse qui ressemble à une carotte et qui peut atteindre jusqu'à 2 m de profondeur. Près de son sommet, la racine pivotante produit des bourgeons latéraux qui donnent de nouveaux plants.",,"['Extroverted Colonizer', 'Resilient', 'Elegant', 'Early Riser', 'Fickle Flowers', 'Fruity', 'Deep Rooted']","[f'Hey! I\'m your friendly neighborhood Wild Chervil, ready to chat and brighten your day!',
 'Wow, you\'re such a resilient one! Always up for a conversation, no matter the season!',
 'Look at me, I\'m tall and elegant! Oh, and did someone say ""flower power""?',
 'Good morning, sunshines! I\'m an early bird, you know. Catch me while you can!',
 'My flowers are a bit tricky, like that one friend who always keeps you guessing!',
 'Seeds a-flying, a wild conversation is never ending! Chat with me more, friend!',
 'Deep roots make me a dependable pal. I\'m here for the long haul!']",images/reference/question_mark.jpg,True
Flore,Plantes de milieux terrestres,BECO,Berce commune,Heracleum sphondylium,Meadow cow-parsnip,Heracleum sphondylium,Berce du Caucase (<i>Heracleum mantegazzianum</i>) et berce laineuse (<i>Heracleum maximum</i>),"<b>Aussi appelée berce sphondyle</b>. Plante herbacée vivace atteignant de 0,8 à 1,8 m de hauteur et dont la sève contient des toxines activées par les rayons ultraviolets. Le contact avec la sève, combiné à l'exposition à la lumière, peut causer des lésions cutanées semblables à des brûlures. La répartition de l'espèce est peu connue au Québec. Aidez-nous à la trouver.","Échappée des aménagements paysagers, elle peut coloniser les milieux perturbés frais et humides, les berges des cours d'eau, les fossés des chemins de fer et des routes, les prés, les terrains vagues ou les terrains en culture.","Elle se propage, sur quelques mètres, par la dispersion de ses graines près des plants, ou sur plusieurs kilomètres, lorsqu'elles sont transportées par les cours d'eau. Les échanges de plants entre horticulteurs sont un autre mode de propagation. ",,,Les feuilles principales sont composées de 3 à 7 folioles profondément découpées et dentées. Les deux faces portent des poils.,Les fleurs sont blanches ou rosées. L'inflorescence principale est composée d'ombelles aplaties qui peuvent comporter de 15 à 30 rayons. Les ombelles peuvent mesurer jusqu'à 20 cm de largeur. Les pétales extérieurs de la fleur sont plus grands et ont deux lobes oblongs.,"L'akène est glabre, obové et émarginé au somment.",La tige est fortement cannelée et très ramifiée. Elle porte des poils rudes et des taches diffuses variant du rouge framboise à violet.,Sa racine est pivotante et ressemble à une carotte.,La sève de la berce commune peut causer des irritations cutanées.,"['Tall', 'Solar-powered', 'Friendly', 'Mysterious', 'Adventurous']","[f'Hey! I""m {height} meters tall and love the sun!', 'Wow! My sap's got some kick to it, watch out!', 'Hey pal, how's it growing?', 'I'm a bit of a mystery, aren't I?', 'Let's go on an adventure!']",images/reference/heracleum_sphondylium.jpg,True
Flore,Plantes de milieux terrestres,BERCE,Berce du Caucase,Heracleum mantegazzianum,Giant hogweed,Heracleum mantegazzianum,Berce laineuse (<i>Heracleum maximum</i>) et berce commune (<i>Heracleum sphondylium</i>),"Plante herbacée vivace atteignant de 2 à 5 mètres de hauteur et dont la sève contient des toxines activées par les rayons ultraviolets. Le contact avec la sève, combiné à l'exposition à la lumière, peut causer des lésions cutanées semblables à des brûlures. ","Échappée des aménagements paysagers, elle colonise les milieux perturbés frais et humides, les berges des cours d'eau, les fossés des chemins de fer et des routes, les prés et les terrains vagues ou en culture.",Elle se propage par les graines sur quelques mètres près des plants ou elle est transportée sur plusieurs kilomètres par les cours d'eau. Les échanges de plants entre horticulteurs sont un autre mode de propagation. ,Oui,,"Les feuilles sont divisées en lobes et peuvent atteindre 1,5 m de large et 3 m de long. Elles sont profondément découpées et dentelées. Leur face supérieure est glabre et d'aspect cireux. Leur face inférieure est lisse ou légèrement écailleuse et elle peut porter des poils blancs rudes et épars.",L'inflorescence est composée d'ombelles aplaties en forme de parapluie inversé. Les ombelles peuvent comporter de 50 à 150 rayons et leur diamètre peut être de 20 à 50 cm. Les fleurs sont de couleur blanche.,"L'akène est plat, ovale et de couleur beige. Il porte de 4 à 6 canaux résineux bruns et gonflés vers les extrémités. Il est entouré de 2 ailes membraneuses et planes qui facilitent sa propagation. L'akène contient 2 graines. Chaque plant peut produire de 10 000 à 20 000 graines.  ","La tige est robuste, cannelée et creuse. Elle peut atteindre un diamètre de 4 à 10 cm. De couleur verte, elle présente de nombreuses taches rougeâtres bien définies et étendues. Des poils blancs rudes et épars peuvent être observés. ",Sa racine est pivotante et ressemble à une carotte.,La sève de la berce du Caucase peut causer des irritations cutanées.,"['Imposing', 'Elegant', 'Cautious', 'Adaptive', 'Community-Oriented', 'Revengeful']","[f'Hey! I\'m a tall and {0} sight, you know.', 'Wow, look at my {1} leaves! They\'re simply stunning, aren\'t they?', 'Be careful! My sap can be {2} if you anger me.', ""I'm a quick {3} and can adapt to most places. Pretty {3}, huh?"", 'I love making new {4} and exploring together!']",images/reference/heracleum_mantegazzianum.jpg,True
Flore,Plantes de milieux terrestres,CONSO,Consoude officinale,Symphytum officinale,Common comfrey,Symphytum officinale,Aucune espèce similaire indigène du Québec,"La consoude officinale est une plante herbacée vivace scabre et pubescente. Elle pousse en touffes parfois affaissées qui peuvent atteindre 1,5 m de haut et 1,5 m de large à maturité. Elle a été cultivée pour ses vertus médicinales, notamment pour soigner les fractures. ","La consoude officinale pousse dans les milieux ouverts ou partiellement ombragés. Elle aime les sols humides et riches. Elle peut former de grandes colonies sur les rives des cours d'eau, dans les sous-bois et sur le bord des routes et des voies ferrées. ",La plante s'échappe des jardins et se propage par ses graines ou par la fragmentation de son système racinaire.,,,"Les feuilles sont entières, alternes, et leurs deux faces sont pubescentes. Les feuilles basales sont grandes et peuvent mesurer plus de 25 cm de long. Elles ont des pétioles ailés. Les feuilles caulinaires, poussant sur la tige près de l'extrémité du plant, sont plus petites et n'ont pas de pétiole.   ","Les fleurs sont de couleur pourpre, rose, blanche ou jaunâtre. Elles forment des grappes terminales de petites cloches suspendues. Elles peuvent mesurer 2 cm de long. La floraison a lieu de juin à septembre. ","Le fruit consiste en 4 nucules brun foncé ou noirâtres, lisses et luisantes, renfermées dans le calice persistant.","Les tiges sont fortes, rameuses et portent des poils. Elles peuvent atteindre 1,5 m de haut à maturité, après 2 à 5 années de croissance, et s'affaisser lorsqu'elles sont pleinement développées.",Le système racinaire de la consoude officinale comporte de grosses racines mucilagineuses et des rhizomes. Les racines sont couvertes d'une écorce noire alors que leur chair est blanche et juteuse.  ,"La plante porte des poils raides qui peuvent causer des irritations cutanées. L'ingestion de la plante ou d'extraits de la plante peut causer de graves inconforts gastriques, des dommages au foie et affecter le système nerveux.","['Assertive', 'Medicine Enthusiast', 'Wild Spread', 'Colorful', 'Scruffy', 'Particular Habitat']","[f'Hey! I""m Consoude, the assertive plant around here. My medicine knowledge is top-notch!', 'Woah, this soil is just lush! I love my particular habitat, you know!', ""Spread out, folks! There's plenty of space for me and my wild roots!"", 'Look at me, I'm a scruffy scamp!', 'You gotta admire my colorful blooms, they're something else!]",images/reference/question_mark.jpg,True
Flore,Plantes de milieux terrestres,DOMPR,Dompte-venin de Russie,Vincetoxicum rossicum,European swallowwort,Vincetoxicum rossicum,"Dompte-venin noir (<i>Vincetoxicum nugrum</i>), aristoloche à grandes feuilles (<i>Isotrema macrophyllum</i>), chèvrefeuille toujours vert (<i>Lonicera sempervirens</i>), dompte-venin lisse (<i>Cynanchum laeve</i>), bignone radicant (<i>Campsis radicans</i>) ","Vigne vivace s'enroulant autour des structures, des arbres, des arbustes ou sur elle-même et formant une masse de tiges emmêlées.","Le dompte-venin de Russie aime les sols riches en calcaire. On peut observer la plante dans les champs, les fourrés, le long des routes et des bandes riveraines, dans les plantations, les forêts, les prairies à herbes hautes et les alvars.",La plante peut être introduite et propagée par les horticulteurs. Elle se propage également par ses graines plumeuses.  ,,,"Les feuilles sont ovales et leur extrémité est pointue. De couleur vert pâle ou foncé, elles sont quelque peu luisantes. La disposition des feuilles le long des tiges est opposée. Leur marge est lisse et peut être légèrement ondulée. Leur largeur varie entre 5 et 7 cm, alors que leur longueur varie entre 7 et 12 cm. Les feuilles libèrent une sève blanche lorsqu’elles sont brisées.  ","La couleur des fleurs varie du rose crème au brun rougeâtre. Elles comportent 5 pétales et ont la forme de petites étoiles. Les fleurs sont pétiolées et regroupées en grappes. Elles prennent naissance à l’aisselle des feuilles. Les pétioles mesurent de 2 à 2,5 cm. La floraison a lieu de juin à juillet. ","Les fruits sont disposés par paires et ont la forme d’une gousse allongée. Ils mesurent de 4 à 7 cm de long et 0,5 cm de large. Leur couleur passe du vert au brun pâle lorsqu’ils sont mûrs. Ils s'ouvrent alors sur le côté pour libérer les graines, qui sont aplaties et munies de longues aigrettes blanches et soyeuses.   ",Les tiges sont ligneuses. Elles sont lisses ou couvertes de poils fins. Elles peuvent mesurer jusqu'à 2 m. Les tiges renferment un latex blanc. Le dompte-venin de Russie ne forme pas de rhizomes.,Les racines sont ligneuses.,,"['Flashy', 'Adventurous', 'Confident', 'Self-sufficient', 'Social butterfly']","[""Wow! Hey there, it's me, Dompte-venin de Russie! My brilliant flowers and I are the life of the party, you know it!"",""I'm a real go-getter, ya know. Can't keep my vibrant vines under control!"",""Look at me, I'm everywhere, and with my seeds, I'll go far! Hooray!"", ""No need to worry about me, I'm a self-sufficient sort. Just point me towards some rich soil and sun and I'm good to go!"", ""Hey pal, want to go on an adventure? My roots are itching for some fun!""]",images/reference/vincetoxicum_rossicum.jpg,True
